,NAME,SPEED,ID,IPV4,IPV6
0,Equinix Los Angeles ,10000,4902, 206.223.123.47 , 2001:504:0:3:0:4:6489:1
1,Equinix Palo Alto ,30000,4905, 198.32.176.32 , 2001:504:d::4:6489:2
2,Equinix New York ,30000,8468, 198.32.118.198 , 2001:504:f::4:6489:1
3,LINX LON1: Main ,100000,9097, 195.66.225.174 , 2001:7f8:4::b599:1
4,DE-CIX Frankfurt: Main ,200000,10152, 80.81.194.181 , 2001:7f8::b599:0:1
5,Equinix Chicago ,20000,11835, 208.115.136.193 , 2001:504:0:4:0:4:6489:1
6,Equinix Dallas ,10000,11836, 206.223.118.193 , 2001:504:0:5:0:4:6489:1
7,Equinix Ashburn ,30000,12985, 206.126.236.193 , 2001:504:0:2:0:4:6489:1
8,Netnod Stockholm: STH-A -- MTU1500 ,100000,15377, 194.68.123.83 , 2001:7f8:d:ff::83
9,Equinix Palo Alto ,30000,16244, 198.32.176.232 , 2001:504:d::4:6489:1
10,Equinix New York ,30000,16594, 198.32.118.209 , 2001:504:f::4:6489:2
11,Equinix Chicago ,20000,16772, 208.115.136.206 , 2001:504:0:4:0:4:6489:2
12,CoreSite - Any2 California ,20000,16938, 206.72.210.165 , 2001:504:13::210:165
13,Equinix Ashburn ,30000,16961, 206.126.237.193 , 2001:504:0:2:0:4:6489:2
14,LINX LON1: Main ,100000,17034, 195.66.225.25 , 2001:7f8:4::b599:2
15,NIX.CZ: Public peering VLAN ,100000,17144, 91.210.16.67 , 2001:7f8:14::7e:1
16,NIX.CZ: Public peering VLAN ,100000,17208, 91.210.16.68 , 2001:7f8:14::7e:2
17,France-IX Paris ,20000,17404, 37.49.237.25 , 2001:7f8:54::1:25
18,France-IX Paris ,20000,17405, 37.49.237.26 , 2001:7f8:54::1:26
19,Equinix Dallas ,10000,17620, 206.223.118.163 , 2001:504:0:5:0:4:6489:2
20,DE-CIX Frankfurt: Main ,200000,18346, 80.81.193.81 , 2001:7f8::b599:0:2
21,LONAP: LON0 ,10000,19476, 5.57.81.71 , 2001:7f8:17::b599:1
22,LONAP: LON0 ,10000,19477, 5.57.81.72 , 2001:7f8:17::b599:2
23,AMS-IX ,100000,19959, 80.249.210.197 , 2001:7f8:1::a504:6489:2
24,AMS-IX ,100000,19960, 80.249.211.27 , 2001:7f8:1::a504:6489:1
25,Peering.cz ,30000,20481, 91.213.211.116 , 2001:7f8:7f::116
26,Peering.cz ,30000,20482, 91.213.211.117 , 2001:7f8:7f::117
27,STHIX - Stockholm ,20000,21768, 192.121.80.30 , 2001:7f8:3e:0:a500:4:6489:1
28,STHIX - Stockholm ,20000,21769, 192.121.80.31 , 2001:7f8:3e:0:a500:4:6489:2
29,NL-ix: Main ,20000,22393, 193.239.117.158 , 2001:7f8:13::a504:6489:1
30,NL-ix: Main ,20000,22394, 193.239.117.161 , 2001:7f8:13::a504:6489:2
31,SIX Seattle ,20000,22932, 206.81.81.54 , 2001:504:16::b599
32,SIX Seattle ,20000,22933, 206.81.81.55 , 2001:504:16::311:0:b599
33,FL-IX ,20000,22934, 206.41.108.57 , 2001:504:40:108::1:57
34,FL-IX ,20000,22935, 206.41.108.58 , 2001:504:40:108::1:58
35,CoreSite - Any2 California ,20000,23628, 206.72.211.48 , 2001:504:13::211:48
36,DE-CIX New York ,20000,23929, 206.130.10.68 , 2001:504:36::b599:0:1
37,BBIX Tokyo ,10000,23930, 218.100.6.112 , 2001:de8:c::4:6489:1
38,BBIX Tokyo ,10000,23931, 218.100.6.113 , 2001:de8:c::4:6489:2
39,JPNAP Tokyo ,20000,23970, 210.173.176.149 , 2001:7fa:7:1:0:4:6489:1
40,JPNAP Tokyo ,20000,23971, 210.173.176.150 , 2001:7fa:7:1:0:4:6489:2
41,DE-CIX New York ,20000,24005, 206.130.10.69 , 2001:504:36::b599:0:2
42,MegaIX Sydney: MegaIX ,10000,25713, 103.26.68.137 , 2001:dea:0:10::89
43,MegaIX Sydney: MegaIX ,10000,25714, 103.26.68.138 , 2001:dea:0:10::8a
44,IX Australia NSW: NSW-IX ,10000,25715, 218.100.52.157 , 2001:7fa:11:4:0:b599:0:1
45,IX Australia NSW: NSW-IX ,10000,25716, 218.100.52.158 , 2001:7fa:11:4:0:b599:0:2
46,HKIX: HKIX Peering LAN 1 ,20000,25806, 123.255.90.46 , 2001:7fa:0:1::ca28:a02e
47,HKIX: HKIX Peering LAN 1 ,20000,25807, 123.255.90.47 , 2001:7fa:0:1::ca28:a02f
48,PLIX ,50000,26436, 195.182.218.225 , 2001:7f8:42::a504:6489:1
49,PLIX ,50000,26437, 195.182.218.245 , 2001:7f8:42::a504:6489:2
50,Equinix Hong Kong ,20000,26640, 119.27.63.118 , 2001:de8:7::4:6489:1
51,Equinix Hong Kong ,20000,26641, 119.27.63.119 , 2001:de8:7::4:6489:2
52,Equinix Tokyo ,20000,26786, 203.190.230.118 , 2001:de8:5::4:6489:1
53,Equinix Tokyo ,20000,26787, 203.190.230.119 , 2001:de8:5::4:6489:2
54,Thinx ,10000,26926, 212.91.0.232 , 2001:7f8:60::4:6489:1
55,Thinx ,10000,26927, 212.91.0.233 , 2001:7f8:60::4:6489:2
56,KINX ,10000,28518, 192.145.251.187 , 2001:7fa:8::4a
57,KINX ,10000,28519, 192.145.251.188 , 2001:7fa:8::4b
58,MegaIX Singapore ,10000,30398, 103.41.12.31 , 2001:ded::1f
59,MegaIX Singapore ,10000,30399, 103.41.12.32 , 2001:ded::20
60,DE-CIX Madrid: Main ,10000,31686, 185.1.68.59 , 2001:7f8:a0::b599:0:1
61,DE-CIX Madrid: Main ,10000,31687, 185.1.68.60 , 2001:7f8:a0::b599:0:2
62,ESPANIX Madrid Lower LAN ,20000,31782, 193.149.1.41 , 2001:7f8:f::41
63,ESPANIX Madrid Upper LAN ,20000,31783, 193.149.1.141 , 2001:7f8:f:1::41
64,Equinix Singapore ,10000,31907, 27.111.229.46 , 2001:de8:4::4:6489:2
65,Equinix Singapore ,10000,31908, 27.111.229.36 , 2001:de8:4::4:6489:1
66,TorIX ,10000,31912, 206.108.35.45 , 2001:504:1a::35:45
67,TorIX ,10000,31913, 206.108.35.51 , 2001:504:1a::35:51
68,DE-CIX Dallas: DE-CIX Dallas Peering LAN ,10000,32060, 206.53.202.15 , 2001:504:61::b599:0:1
69,DE-CIX Dallas: DE-CIX Dallas Peering LAN ,10000,32061, 206.53.202.16 , 2001:504:61::b599:0:2
70,Equinix Los Angeles ,10000,32606, 206.223.123.247 , 2001:504:0:3:0:4:6489:2
71,VIX ,20000,33799, 193.203.0.230 , 2001:7f8:30:0:2:1:4:6489
72,VIX ,20000,33800, 193.203.0.34 , 2001:7f8:30:0:2:2:4:6489
73,IX.br (PTT.br) São Paulo ,100000,33848, 187.16.221.244 , 2001:12f8::221:244
74,IX.br (PTT.br) São Paulo ,100000,33849, 187.16.221.243 , 2001:12f8::221:243
75,CoreSite - Any2 Denver  ,20000,34404, 206.51.46.9 , 2605:6c00:303:303::9
76,CoreSite - Any2 Denver  ,20000,34405, 206.51.46.19 , 2605:6c00:303:303::19
77,IX.br (PTT.br) Rio de Janeiro ,40000,34479, 45.6.53.9 , 2001:12f8:0:2::53:9
78,IX.br (PTT.br) Rio de Janeiro ,40000,34480, 45.6.53.10 , 2001:12f8:0:2::53:10
79,CyrusOne IX Houston ,10000,34579, 198.32.96.49 , 2001:478:96::49
80,CyrusOne IX Houston ,10000,34580, 198.32.96.50 , 2001:478:96::50
81,Netnod Stockholm: STH-B -- MTU1500 ,100000,35237, 194.68.128.83 , 2001:7f8:d:fe::83
82,Netnod Stockholm: STH-A -- MTU4470 ,100000,35238, 195.245.240.83 , 2001:7f8:d:fc::83
83,Netnod Stockholm: STH-B -- MTU4470 ,100000,35239, 195.69.119.83 , 2001:7f8:d:fb::83
84,NWAX: Primary Peering VLAN ,10000,35416, 198.32.195.121 , 2001:478:195::121
85,NWAX: Primary Peering VLAN ,10000,35417, 198.32.195.122 , 2001:478:195::122
86,QIX ,20000,35816, 198.179.18.70 , 2001:504:2d::18:70
87,Digital Realty Atlanta ,20000,35960, 198.32.132.238 , 2001:478:132::238
88,Digital Realty Atlanta ,20000,35961, 198.32.132.239 , 2001:478:132::239
89,DE-CIX Marseille ,10000,36312, 185.1.47.45 , 2001:7f8:36::b599:0:1
90,DE-CIX Marseille ,10000,36313, 185.1.47.46 , 2001:7f8:36::b599:0:2
91,BCIX ,100000,36836, 193.178.185.106 , 2001:7f8:19:1::b599:1
92,BCIX ,100000,36837, 193.178.185.107 , 2001:7f8:19:1::b599:2
93,Equinix Sydney ,10000,36978, 45.127.172.71 , 2001:de8:6::4:6489:1
94,Equinix Sydney ,10000,36979, 45.127.172.198 , 2001:de8:6::4:6489:2
95,SLIX - Salt Lake City Internet Exchange ,10000,37991, 204.228.158.19 , 2607:fa18:1:f00::13
96,SLIX - Salt Lake City Internet Exchange ,10000,38006, 204.228.158.22 , 2607:fa18:1:f00::16
